COD_ZONA;NOM_ZONA;COD_PARROQUIA;COD_CIRCUNSCRIPCION
3;PAPANKU;685;0
1;CUBE / CHANCAMA;700;0
2;CHUCAPLE;700;0
1;CUMANDA;715;0
2;OTO AROSEMENA 1;715;0
1;CUMBARATZA;720;0
2;NAMBIJA BAJO;720;0
3;LA QUEBRADA DE CUMBARATZA;720;0
1;CUMBAYA;725;3
2;COLEGIO MENOR;725;3
3;LUMBISÍ;725;3
1;CURARAY;735;0
2;VILLANO;735;0
3;TOÑAMPARI;735;0
5;TIWINO;735;0
6;CHUYAYACU;735;0
7;JAIME ROLDOS;735;0
8;MEÑEMPARE;735;0
9;LIKINO;735;0
1;CUTUGLAGUA;755;4
2;SANTA ROSA;755;4
1;CUYABENO;760;0
2;ZABALO;760;0
1;CRUCITA;770;2
2;LOS RANCHOS - ARENALES;770;2
3;SAN SILVESTRE;770;2
1;SIETE DE JULIO;780;0
2;LUZ DE AMERICA;780;0
1;EL INGENIO;790;0
2;GRANADILLO;790;0
3;CONSAGUANA;790;0
1;SAN LUIS DE PAMBIL;795;0
2;SAN FERNANDO;795;0
3;JILIMBÍ;795;0
1;UNAMUNCHO;810;0
2;LA PRIMAVERA;810;0
1;CHANDUY;820;0
3;ZAPOTAL;820;0
4;TUGADUAJA / ENGUNGA;820;0
5;PECHICHE / EL REAL;820;0
6;SAN GERONIMO;820;0
1;CHAQUINAL;835;0
2;EL PAPAYO;835;0
1;CHARAPOTO;840;1
2;SAN ALEJO;840;1
3;SAN CLEMENTE;840;1
4;SAN JACINTO;840;1
1;CHAUCHA /ANGAS;845;0
2;SAN ANTONIO;845;0
3;CEDRO;845;0
4;CASCAJO;845;0
1;CHICAN /G. ORTEGA;870;0
2;UZHUPUD;870;0
1;CHIGUAZA;875;0
2;SAN PABLO;875;0
3;SAN JUAN;875;0
4;SAN JUAN BOSCO;875;0
5;SHUAR TUNA CHIWIAS-MARIA AUXILIADORA;875;0
6;COOP. 5 DE NOVIEMBRE;875;0
7;TSEMANTSMAN SAN JOSÉ;875;0
8;CENTRO SHUAR KAYAMENTSA;875;0
1;DUG - DUG;890;0
2;LAZUL;890;0
1;CHITO;915;0
2;NUEVOS HORIZONTES;915;0
3;SALTO DEL INCA;915;0
1;CHONTADURO;930;0
2;PARTIDERO;930;0
1;CHONTAMARCA;935;0
2;CIMIENTOS;935;0
1;CHONTAPUNTA;940;0
2;MONDAÑA;940;0
3;ÑUCANCHI LLAKTA KM 28;940;0
4;ÑUCANCHI ALPA;940;0
5;CRUZCHICTA;940;0
6;GARENO;940;0
7;COLONIA LOS RIOS;940;0
8;CAMPO ALEGRE;940;0
9;SHIRIPUNO 2;940;0
10;MANGO PLAYA;940;0
11;FUERZAS UNIDAS;940;0
12;SAN ALBERTO DE BELLAVISTA BAJA;940;0
13;LAS CANELAS;940;0
1;CHUGA;955;0
2;SAN FRANCISCO DE LOS PALMARES;955;0
1;CHUGCHILAN;960;0
4;GUAYAMA SAN PEDRO QUILOTOA;960;0
5;SARAWASI;960;0
6;SAN MIGUEL DE PILAPUCHIN;960;0
7;SAN MIGUEL DE GUARUMAL;960;0
1;CHUMUNDE;965;0
2;CAPULÍ;965;0
3;MARIBÉ;965;0
4;RASCADERA;965;0
5;PERLA ESMERALDEÑA/SAN RUFINO;965;0
1;CHICANA;985;0
2;SAN VICENTE DE CANEY;985;0
1;COCHAPAMBA;990;0
2;YANAHURCO GRANDE;990;0
1;DAULE;1010;0
2;PEDRO CARBO;1010;0
1;PACHICUTZA;1015;0
2;SAN ROQUE;1015;0
3;SHACAY;1015;0
1;G. DIAZ DE PINEDA;1020;0
2;SAN LUIS;1020;0
1;10 DE AGOSTO;1025;0
2;SAN RAMON;1025;0
1;10 DE AGOSTO;1030;1
2;SANTA TERESA;1030;1
1;12 DE DICIEMBRE;1035;0
2;CURIACHI;1035;0
1;PUERTO MURIALDO;1050;0
2;BAJO HUINO;1050;0
3;JANDIA YACU;1050;0
1;SAN RAFAEL;1055;0
2;CALDERA;1055;0
1;SAN SEBASTIAN;1060;1
2;LA AZUCENA;1060;1
3;BOCA DE CAÑA;1060;1
1;BARRAGANETE;1065;1
2;RIO VENDIDO;1065;1
3;EL DIQUE;1065;1
4;CABECERA DE RIO SALAZAR;1065;1
5;EL MORAL-TRES PUNTAS;1065;1
1;WILFRIDO LOOR M.;1070;1
2;TEODOMIRO;1070;1
1;EL PARAISO;1080;0
2;EL TIGRE 1;1080;0
1;GONZALO PIZARRO;1090;0
2;DASHINO;1090;0
3;PANDAYACU;1090;0
4;AMAZONAS;1090;0
1;LA LIBERTAD;1100;0
2;PUYANGO DE LA LIBERTAD;1100;0
1;EL ALTAR;1110;0
2;UTUÑAG;1110;0
1;NUEVO QUITO;1120;0
2;PTO. MINERO LA PUNTA;1120;0
1;EL GOALTAL / LAS JUNTAS;1150;0
2;CORAZON DE MUNDO NUEVO;1150;0
1;EL LIMO /MARIANA DE JESUS;1155;0
2;MANGURQUILLO;1155;0
1;ELOY ALFARO;1160;1
2;CUCUY;1160;1
3;LAS PIEDRAS;1160;1
1;EL CHICAL;1195;0
2;SAN MARCOS;1195;0
1;EL TAMBO;1200;0
2;LA MERCED;1200;0
1;TUTINENTZA;1205;0
2;TUKUP;1205;0
3;YAMANUNKA;1205;0
4;KAPANTINENTSA;1205;0
5;KUSUIMI;1205;0
6;SHUAR KASHAI;1205;0
7;SHIRAMENTSA;1205;0
8;SHUAR ETSA;1205;0
9;PUTUNTS;1205;0
10;JEMPENTS;1205;0
11;PUKAR;1205;0
12;PUTUIM;1205;0
13;SHUAR CHIWIAS;1205;0
14;SHUAR KAPITIAN;1205;0
15;LIBERTAD SUR;1205;0
16;NAYANTS;1205;0
1;PROGRESO;1225;0
2;GALAYACU;1225;0
3;LA CADENA;1225;0
4;ROSA DE ORO;1225;0
5;MUYUYACU;1225;0
6;LA PLAYA;1225;0
7;RÁJARO;1225;0
8;DUCOS;1225;0
1;DAYUMA;1235;0
2;EL ANGEL;1235;0
3;ESFUERZO AMAZONICO;1235;0
4;PUERTO PINDO;1235;0
5;RIO TIPUTINI;1235;0
6;MIWAGUNO;1235;0
7;TIGUANO;1235;0
1;EL PORVENIR DEL CARMEN;1240;0
2;SANTA CLARA;1240;0
3;CUMANDA;1240;0
5;LOYOLA;1240;0
6;NUMBALA;1240;0
1;TARACOA;1245;0
2;SAN CARLOS;1245;0
3;SAN VICENTE;1245;0
4;PAMIWA KUCHA;1245;0
1;FACUNDO VELA;1255;0
3;EL PORVENIR;1255;0
1;FEBRES CORDERO;1265;0
2;MATILDE ESTHER;1265;0
3;PUEBLO NUEVO;1265;0
1;FERNANDEZ SALVADOR;1270;0
2;SAN FRANCISCO DE LA LINEA ROJA;1270;0
1;FLORES;1280;0
2;GUANTUL GRANDE;1280;0
3;NAUBUG;1280;0
1;EL ENO;1285;0
2;ATARY;1285;0
3;EL TRIUNFO UNO;1285;0
1;PACAYACU;1290;0
2;CHONE UNO;1290;0
3;CHIRITZA;1290;0
4;JUAN MONTALVO;1290;0
5;PUERTO NUEVO;1290;0
1;SAN JOSE DE MORONA;1295;0
3;CENTRO CHAU;1295;0
4;PUERTO MORONA;1295;0
5;PANINTS;1295;0
6;KAANK GRANDE;1295;0
7;RIO AMAZONAS;1295;0
8;LA UNIÓN;1295;0
1;SAN JOSE DE ANCON;1300;0
2;PROSPERIDAD / EL TAMBO;1300;0
1;GALERA;1305;0
2;ESTERO DE PLATANO;1305;0
1;GARCIA MORENO /LLURIMAGUA;1310;0
2;NARANJITO;1310;0
3;LA MADGALENA BAJA;1310;0
5;EL CHONTAL;1310;0
6;CIELO VERDE;1310;0
7;LAS GOLONDRINAS;1310;0
8;LA INDEPENDIENTE;1310;0
9;RUMIÑAHUI;1310;0
1;GARCIA MORENO;1315;0
2;EL TAMBO;1315;0
1;GENERAL FARFAN;1330;0
2;TRES PALMAS;1330;0
3;PATRIA NUEVA;1330;0
4;CORAZÓN ORENSE;1330;0
1;GONZALEZ SUAREZ;1360;0
2;PIJAL ALTO;1360;0
1;SAN FCO. DE CHINIMBIMI;1365;0
2;PANIA;1365;0
3;YAKUANK;1365;0
1;GUACHANAMA;1380;0
2;BRAMADEROS;1380;0
3;EL DULCE;1380;0
4;EL LIMON;1380;0
1;SARACAY;1385;0
2;CAMARONES;1385;0
3;LAS ORQUIDEAS;1385;0
1;GUADALUPE;1390;0
2;GUAGUAYME ALTO;1390;0
3;SOAPACA;1390;0
4;PIUNTZA;1390;0
1;GUALLETURO;1410;0
2;PURUBIN;1410;0
3;GER;1410;0
4;SHUYA;1410;0
1;GUANAZAN;1420;0
2;GUARTIGURO;1420;0
1;GUANGAJE;1430;0
2;YAGUARTOA;1430;0
1;SAN JACINTO;1435;4
2;LONDON;1435;4
3;POTRERITOS;1435;4
1;GUAPAN;1445;0
2;ZHINDILIG;1445;0
3;AGUILAN;1445;0
1;GUARAINAC;1455;0
2;JUNTAS;1455;0
1;GUARE;1460;0
2;LA CARMELA;1460;0
3;EL GUAYABO;1460;0
4;CAMPO ALEGRE;1460;0
1;GUAYAS / PUERTO NUEVO;1470;4
2;DAULE - PERIPA;1470;4
1;GUASAGANDA;1500;0
2;QUINDIGUA;1500;0
3;MALQUI;1500;0
1;SAN JOSE DE CAYAPAS;1505;0
2;PICHIYACU CHACHI;1505;0
3;PLAYA GRANDE;1505;0
4;HERRADURA;1505;0
1;LA UNION;1525;0
2;EL CUATRO;1525;0
1;LA UNION;1530;0
2;LA INDEPENDENCIA;1530;0
3;LIBERTAD DE PLAYA;1530;0
4;BOCANA DEL BUA;1530;0
6;LA ESMERALDA;1530;0
7;MATAMBA;1530;0
8;EL SILENCIO;1530;0
9;NUEVO AZUAY;1530;0
10;LA VIRGENCITA;1530;0
11;EL BELEN;1530;0
12;LOS ÁNGELES;1530;0
1;AGUAS NEGRAS;1555;0
2;SAN VICTORIANO;1555;0
3;REY DE LOS ANDES;1555;0
1;INES ARANGO;1565;0
2;TIGUINO;1565;0
3;HUANCAVILCA;1565;0
1;JUNQUILLAL;1595;4
2;EL LAUREL DE SALITRE;1595;4
1;NOVILLO;1600;1
2;SAN AGUSTIN RIO DE LAS VACAS;1600;1
4;SAN ANTONIO DE TIGRE-PATA DE MULA;1600;1
5;BOCA DE TIGRE;1600;1
6;LOS VIVERES DE LA POLVOSA;1600;1
1;HONORATO VASQUEZ;1610;2
2;LA SAIBA;1610;2
3;LA CHONTILLA 1;1610;2
1;TONSUPA;1615;0
2;TASECHE;1615;0
1;HUACHI GRANDE;1625;0
2;HUACHI SAN FRANCISCO;1625;0
1;HUAMBI;1635;0
2;CUMBATZA;1635;0
1;SAN VICENTE;1650;0
2;LA MERCED;1650;0
3;SANTA TERESITA;1650;0
1;BELLAMARIA;1665;0
2;VALLE HERMOSO;1665;0
1;ZURMI;1675;0
3;SHAIMI;1675;0
1;SAN JOSE DE DAHUANO;1680;0
2;LA PAZ;1680;0
3;PALTA COCHA;1680;0
4;SAN CARLOS DE RIO BUENO;1680;0
5;MUSHUK LLAKTA;1680;0
6;ARAPINO;1680;0
1;SAN RAFAEL DE SHARUG;1690;0
2;GUARUMAL;1690;0
1;IMANTAG;1710;0
2;PIÑAN;1710;0
1;INGAPIRCA;1725;0
2;SISID;1725;0
89;VOTO EN CASA;1730;0
1;ISINLIVI;1735;0
2;GUANTOALO;1735;0
1;LUZ DE AMÉRICA;1755;0
2;EL CONGOMA;1755;0
3;SAN VICENTE DEL NILA;1755;0
1;SAN CARLOS DE LAS MINAS;1770;0
2;NAMBIJA;1770;0
1;SANTA CECILIA;1790;0
2;LUZ Y VIDA;1790;0
3;AKIWARI;1790;0
4;CUCHAPAMBA;1790;0
5;LUCHA DE LOS POBRES;1790;0
1;JAMBELI;1795;0
2;BARRANCA BERMEJA;1795;0
1;JADAN;1805;0
2;SANTA ROSA DE CHICHIN;1805;0
3;EL CARMEN;1805;0
1;GARCIA MORENO;1810;0
2;CASPISAPA;1810;0
1;JAMBELI;1815;0
2;PONGALILLO-LAS CASITAS;1815;0
3;LAS HUACAS;1815;0
1;LA BELLEZA;1820;0
2;JAGUAR DOS;1820;0
3;LAS DELICIAS;1820;0
4;CANAAN SANGAY;1820;0
5;PALMA ROJA;1820;0
6;ELOY ALFARO;1820;0
8;CACIQUE JUMANDY;1820;0
1;JAVIER LOYOLA / CHUQUIPATA;1825;0
2;AYANCAY;1825;0
1;JIJON Y CAAMAÑO;1835;0
2;RIO VERDE;1835;0
1;JIMBILLA;1840;0
2;JESÚS MARÍA BAJO;1840;0
1;JOSE LUIS TAMAYO / MUEY;1850;0
2;EL PARAISO;1850;0
1;JUAN DE VELASCO;1865;0
2;TAMBILLO BAJO;1865;0
1;JUAN GOMEZ RENDON;1870;3
2;BAJADA DE CHANDUY;1870;3
1;JUAN MONTALVO;1875;0
2;SANTIAGUILLO;1875;0
1;JULIO MORENO;1890;0
2;RODEOPAMBA;1890;0
1;DUCUR;1895;0
2;JAVIN;1895;0
3;CHIL CHIL;1895;0
1;JUNCAL;1900;0
2;CHARCAY;1900;0
1;SALANGO;1920;2
2;LAS TUNAS;1920;2
1;TALAG;1930;0
2;ILAYAKU;1930;0
3;JATUN YAKU;1930;0
1;SAN LUIS DE ARMENIA;1935;0
2;ALTO MANDURO;1935;0
1;NUEVO PARAISO;1940;0
2;SAN LORENZO DE ACORANO;1940;0
1;SAN JOSE DE GUAYUSA;1945;0
2;10 DE AGOSTO;1945;0
3;KANOA YAKU;1945;0
1;TRES DE NOVIEMBRE;1955;0
2;25 DE DICIEMBRE;1955;0
1;LAGO SAN PEDRO;1960;0
2;MIRAFLORES;1960;0
1;UNION MILAGREÑA;1965;0
2;SANTA ROSA;1965;0
1;SAN JACINTO DEL BUA;1970;0
2;UMPECHICO;1970;0
3;SAN VICENTE DEL BUA;1970;0
4;SAN FRANCISCO DE CHILA;1970;0
5;SAN PEDRO DEL LAUREL;1970;0
1;SAN PEDRO DE SUMA;1980;1
2;PUERTO NUEVO;1980;1
3;LAS MERCEDES DE AGUAS SUCIA;1980;1
1;EL ESFUERZO;1990;0
2;LA REFORMA;1990;0
3;PALMAR DEL BIMBE;1990;0
1;BOLASPAMBA;2000;0
2;VEGA ALTA;2000;0
1;LA CONCEPCION;2010;0
2;PALO BLANCO;2010;0
3;SANTA LUCIA;2010;0
4;NARANJITO;2010;0
1;LAGARTO;2035;0
2;BOCANA DEL LAGARTO;2035;0
3;VAINILLA;2035;0
1;SANTA MARIA DEL TOACHI;2045;0
2;CORINA PARRAL;2045;0
3;SAN JOSE DEL MIRADOR;2045;0
4;LA MORENA;2045;0
1;RIO BONITO;2050;0
2;SAN MIGUEL DE BRAZIL;2050;0
3;SAN VICENTE;2050;0
4;PAGUA;2050;0
1;LA MERCED DE BUENOS AIRES;2060;0
2;PALMIRA DE TOCTEMI - AWA;2060;0
1;LA PAZ;2070;0
2;CHAPINTZA BAJO;2070;0
3;KURINTS;2070;0
4;NUEVO PORVENIR;2070;0
1;SAN ANDRES;2110;0
2;LA PALMA;2110;0
1;LA TOLA;2125;0
2;SAN PEDRO;2125;0
1;LA UNION;2135;2
2;CHICOMPE;2135;2
1;LAURO GUERRERO;2140;0
2;LA PALMA;2140;0
1;LA VICTORIA DE IMBANA;2155;0
2;EL TIBIO;2155;0
3;TAMBO BLANCO;2155;0
1;LICTO;2165;0
2;TUNSHI SAN NICOLAS;2165;0
1;LIMONCOCHA;2175;0
2;NUEVO PARAISO;2175;0
3;UNIÓN AMAZÓNICA;2175;0
4;24 DE MAYO;2175;0
5;YAMANUNKA;2175;0
6;SANI ISLA;2175;0
1;LOS ANDES;2205;0
2;PIQUIUCHO;2205;0
3;CUNQUER;2205;0
1;LUDO;2215;0
2;BUENA VISTA;2215;0
3;HATOBOLO;2215;0
1;LOS ENCUENTROS;2240;0
2;EL ZARZA;2240;0
1;LLAGOS;2260;0
2;JOYAGSHI;2260;0
1;LLOA;2275;3
2;CHIRIBOGA;2275;3
3;SAN JUAN DE LLOA;2275;3
1;MACUMA;2285;0
2;YUWINTS;2285;0
3;MAMAYAK;2285;0
5;KUSUTKA;2285;0
6;YAMPUNA NORTE;2285;0
7;CENTRO SHUAR KANKAIM NORTE;2285;0
1;MADRE TIERRA;2310;0
2;SANTA ANA;2310;0
3;AMAZONAS;2310;0
4;NUEVA VIDA;2310;0
1;MALDONADO;2340;0
2;CHILMA ALTO;2340;0
1;MALIMPIA /GUAYLLABAMBA;2345;0
3;AGUA CLARA;2345;0
4;EL RECREO;2345;0
5;LA T;2345;0
6;NARANJAL DE LOS CHACHIS;2345;0
7;VALLE DEL SADE;2345;0
8;RONCA TIGRILLO;2345;0
9;5 DE AGOSTO;2345;0
10;VALLE ESMERALDEÑO;2345;0
11;ZAPALLO;2345;0
12;CRISTOBAL COLON;2345;0
13;GUAYACANA;2345;0
14;LAS PAVAS;2345;0
15;AGUA CLARA CHACHI;2345;0
16;UNION MANABITA;2345;0
1;MANGLARALTO;2355;0
2;SAN PEDRO / VALDIVIA;2355;0
3;SINCHAL;2355;0
4;OLON;2355;0
5;LA ENTRADA;2355;0
6;CADEATE;2355;0
7;MONTAÑITA;2355;0
8;LA RINCONADA;2355;0
9;DOS MANGAS;2355;0
10;SITIO NUEVO;2355;0
1;MANU;2360;0
2;TAGUARCOCHA;2360;0
1;MANUEL J. CALLE;2365;0
2;SAN ISIDRO;2365;0
1;MARIANO MORENO/CALLASAY;2385;0
2;CERTAG;2385;0
1;MATAJE;2395;0
2;MATAJE ALTO;2395;0
3;LA CADENA;2395;0
1;MINDO;2410;4
2;PUEBLO NUEVO;2410;4
1;MOLLETURO;2430;0
2;JESUS DEL GRAN PODER;2430;0
3;ZHAGAL;2430;0
4;SAN JOSE DE RECREO;2430;0
5;TAMARINDO;2430;0
6;AGUAS CALIENTES;2430;0
7;ESTERO PIEDRA;2430;0
8;ABDON CALDERÓN;2430;0
9;FLOR Y SELVA;2430;0
10;CAYMATAN;2430;0
1;MONTALVO /ANDOAS;2450;0
2;KAPAWI;2450;0
4;CHARAPACOCHA;2450;0
5;BUFEO;2450;0
6;KURINTZA;2450;0
7;WUAYUSENTSA;2450;0
8;NUMBAIMI;2450;0
9;CONAMBO;2450;0
10;JANDIAYACU;2450;0
11;PINDUYACU;2450;0
12;KAPAWARI;2450;0
13;TERESA MAMA;2450;0
1;MONTEOLIVO;2455;0
2;PUEBLO NUEVO;2455;0
3;EL MOTILON;2455;0
1;MORASPUNGO;2460;0
2;GUAPARA;2460;0
3;PIEDACITA;2460;0
4;EL DESEO;2460;0
5;CALABICITO;2460;0
1;MOROMORO;2465;0
2;PALO SOLO;2465;0
1;LAS NIEVES;2550;0
2;LA PAZ;2550;0
1;NOBOA;2555;2
2;EL ENCUENTRO;2555;2
1;MULTI /  NULTI;2570;0
2;CHALLUABAMBA NULTI;2570;0
1;ORIANGA;2630;0
2;NARANJILLO;2630;0
1;PABLO ARENAS;2675;0
2;LA VICTORIA;2675;0
1;PACTO;2690;3
2;SAGUANGAL;2690;3
3;PACHIJAL;2690;3
1;PALETILLAS;2710;0
2;AÑANCAL;2710;0
3;CAUCHO GRANDE;2710;0
1;PALMALES;2715;0
2;MANABI DE EL ORO;2715;0
1;PALMAS;2725;0
2;JURUPILLOS;2725;0
3;SANTA ROSA;2725;0
1;PALMIRA;2730;0
2;TIPIN;2730;0
3;GALTES;2730;0
1;PANCHO NEGRO;2745;0
2;LA PUNTILLA;2745;0
1;PANACOCHA;2765;0
2;PUKA PEÑA;2765;0
1;PASA;2775;0
2;MOGATO;2775;0
1;PATUCA;2795;0
2;IPIAKIM;2795;0
1;PEÑAHERRERA;2820;0
2;EL CRISTAL;2820;0
3;NANGULVI BAJO;2820;0
1;PICAYHUA;2830;0
2;SIGSIPAMBA;2830;0
1;PIEDRAS;2850;0
2;EL CARMEN;2850;0
1;PILAHUIN;2860;0
2;TAMBO LOMA;2860;0
3;EL SALADO;2860;0
1;PILALO;2865;0
2;APAGUA;2865;0
1;PIMOCHA;2875;0
2;ISABEL MARIA;2875;0
3;LA VIRGINIA;2875;0
1;PINDILIG;2885;0
2;SHAL;2885;0
1;PINTAG;2895;3
2;UBILLUS;2895;3
3;TOLONTAG;2895;3
1;POMASQUI;2925;3
2;PUSUQUI;2925;3
1;POMPEYA;2930;0
2;SAN ANTONIO;2930;0
1;PUELLARO;2980;3
2;ALOGUINCHO;2980;3
3;ALCHIPICHI;2980;3
1;PUERTO CAYO;2990;2
2;CANTA GALLO;2990;2
1;PUERTO MISAHUALLI;3000;0
2;SAN MIGUEL DE PALMERAS;3000;0
3;VENECIA DERECHA;3000;0
1;PUNA;3030;3
2;CAUCHICHE;3030;3
3;CAMPO ALEGRE;3030;3
4;LOS MORREÑOS;3030;3
5;PUERTO ROMA;3030;3
6;MATORRILLO;3030;3
7;MONDRAGÓN;3030;3
1;PUNGALA;3035;0
2;ALAO;3035;0
3;ASHPAPUNGO;3035;0
1;PUNIN;3040;0
2;TZALARON;3040;0
1;PUERTO NAPO;3050;0
2;ATAHUALPA;3050;0
1;QUIMIAG;3095;0
2;PIÑAÑAU;3095;0
3;PUCULPALA;3095;0
1;QUINCHE;3100;3
2;SAN VICENTE DE CUPUCURO;3100;3
3;IGUIÑARO;3100;3
1;QUINGEO;3105;0
2;MONJAS;3105;0
