COD_PARTIDO;NOM_PARTIDO;LIS_PARTIDO;NUM_PARTIDO
31;MOVIMIENTO / ALIANZA / PARTIDO  40;12-18;012018
39;MOVIMIENTO / ALIANZA / PARTIDO  41;12-18;012018
34;MOVIMIENTO / ALIANZA / PARTIDO  42;12-18;012018
28;MOVIMIENTO / ALIANZA / PARTIDO  43;12-18-62-2;012018062002
52;MOVIMIENTO / ALIANZA / PARTIDO  44;12-65;012065
626;MOVIMIENTO / ALIANZA / PARTIDO  45;17;017
588;MOVIMIENTO / ALIANZA / PARTIDO  46;18;018
49;MOVIMIENTO / ALIANZA / PARTIDO  47;18-1;018001
676;MOVIMIENTO / ALIANZA / PARTIDO  48;19;019
697;MOVIMIENTO / ALIANZA / PARTIDO  49;21;021
54;MOVIMIENTO / ALIANZA / PARTIDO  5;1-2;001002
2;MOVIMIENTO / ALIANZA / PARTIDO  50;21-23;021023
8;MOVIMIENTO / ALIANZA / PARTIDO  51;21-23-61;021023061
3;MOVIMIENTO / ALIANZA / PARTIDO  52;21-23-62;021023062
15;MOVIMIENTO / ALIANZA / PARTIDO  53;21-23-62;021023062
7;MOVIMIENTO / ALIANZA / PARTIDO  54;21-23-63;021023063
36;MOVIMIENTO / ALIANZA / PARTIDO  55;21-66;021066
6;MOVIMIENTO / ALIANZA / PARTIDO  56;21-100;021100
629;MOVIMIENTO / ALIANZA / PARTIDO  57;23;023
11;MOVIMIENTO / ALIANZA / PARTIDO  58;23-62;023062
589;MOVIMIENTO / ALIANZA / PARTIDO  59;35;035
33;MOVIMIENTO / ALIANZA / PARTIDO  6;1-2-12;001002012
42;MOVIMIENTO / ALIANZA / PARTIDO  60;35-17;035017
35;MOVIMIENTO / ALIANZA / PARTIDO  61;35-18;035018
50;MOVIMIENTO / ALIANZA / PARTIDO  62;35-61;035061
59;MOVIMIENTO / ALIANZA / PARTIDO  63;35-62;035062
61;MOVIMIENTO / ALIANZA / PARTIDO  64;35-62;035062
65;MOVIMIENTO / ALIANZA / PARTIDO  65;35-65;035065
60;MOVIMIENTO / ALIANZA / PARTIDO  66;35-70;035070
614;MOVIMIENTO / ALIANZA / PARTIDO  67;51;051
737;MOVIMIENTO / ALIANZA / PARTIDO  68;61;061
585;MOVIMIENTO / ALIANZA / PARTIDO  69;61;061
32;MOVIMIENTO / ALIANZA / PARTIDO  7;1-12;001012
674;MOVIMIENTO / ALIANZA / PARTIDO  70;61;061
694;MOVIMIENTO / ALIANZA / PARTIDO  71;61;061
591;MOVIMIENTO / ALIANZA / PARTIDO  72;61;061
601;MOVIMIENTO / ALIANZA / PARTIDO  73;61;061
668;MOVIMIENTO / ALIANZA / PARTIDO  74;61;061
619;MOVIMIENTO / ALIANZA / PARTIDO  75;61;061
633;MOVIMIENTO / ALIANZA / PARTIDO  76;61;061
757;MOVIMIENTO / ALIANZA / PARTIDO  77;61;061
584;MOVIMIENTO / ALIANZA / PARTIDO  78;61;061
696;MOVIMIENTO / ALIANZA / PARTIDO  79;61;061
66;MOVIMIENTO / ALIANZA / PARTIDO  8;1-18;001018
599;MOVIMIENTO / ALIANZA / PARTIDO  80;61;061
625;MOVIMIENTO / ALIANZA / PARTIDO  81;61;061
634;MOVIMIENTO / ALIANZA / PARTIDO  82;61;061
648;MOVIMIENTO / ALIANZA / PARTIDO  83;61;061
706;MOVIMIENTO / ALIANZA / PARTIDO  84;61;061
683;MOVIMIENTO / ALIANZA / PARTIDO  85;62;062
587;MOVIMIENTO / ALIANZA / PARTIDO  86;62;062
719;MOVIMIENTO / ALIANZA / PARTIDO  87;62;062
699;MOVIMIENTO / ALIANZA / PARTIDO  88;62;062
707;MOVIMIENTO / ALIANZA / PARTIDO  89;62;062
718;MOVIMIENTO / ALIANZA / PARTIDO  9;2;002
622;MOVIMIENTO / ALIANZA / PARTIDO  90;62;062
758;MOVIMIENTO / ALIANZA / PARTIDO  91;62;062
703;MOVIMIENTO / ALIANZA / PARTIDO  92;62;062
708;MOVIMIENTO / ALIANZA / PARTIDO  93;62;062
602;MOVIMIENTO / ALIANZA / PARTIDO  94;62;062
705;MOVIMIENTO / ALIANZA / PARTIDO  95;62;062
628;MOVIMIENTO / ALIANZA / PARTIDO  96;62;062
711;MOVIMIENTO / ALIANZA / PARTIDO  97;63;063
682;MOVIMIENTO / ALIANZA / PARTIDO  98;63;063
675;MOVIMIENTO / ALIANZA / PARTIDO  99;63;063
1.001;PREGUNTA 1;101;101
1.002;PREGUNTA 2;102;102
1.003;PREGUNTA 3;103;103
1.004;PREGUNTA 4;104;104
1.005;PREGUNTA 5;105;105
