COD_PARROQUIA;NOM_PARROQUIA;COD_CANTON;COD_CIRCUNSCRIPCION
1555;AGUAS NEGRAS;626;0
6765;TARAPOA;626;0
510;CAP. AUGUSTO RIVADENEIRA;630;0
630;CONONACO;630;0
3720;STA. MARIA DE HUIRIRIMA;630;0
4295;YASUNI;630;0
5700;NUEVO ROCAFUERTE;630;0
7485;TIPUTINI;630;0
670;COSANGA;635;0
765;CUYUJA;635;0
2770;PAPALLACTA;635;0
3395;SAN FRANCISCO DE BORJA;635;0
3890;SUMACO;635;0
5090;BAEZA;635;0
1170;EL PLAYON DE SN. FRANCISCO;640;0
2095;LA SOFIA;640;0
3220;ROSA FLORIDA;640;0
3690;SANTA BARBARA;640;0
5525;LA BONITA;640;0
1235;DAYUMA;645;0
1245;TARACOA;645;0
1560;EL DORADO;645;0
1565;INES ARANGO;645;0
1590;EL EDEN;645;0
1810;GARCIA MORENO;645;0
1820;LA BELLEZA;645;0
1935;SAN LUIS DE ARMENIA;645;0
1940;NUEVO PARAISO;645;0
1945;SAN JOSE DE GUAYUSA;645;0
1995;ALEJANDRO LABAKA;645;0
5815;EL COCA;645;0
2720;PALMA ROJA;650;0
3005;PUERTO BOLIVAR;650;0
3020;PUERTO RODRIGUEZ;650;0
3705;SANTA ELENA;650;0
4745;SANSAHUARI;650;0
6500;EL CARMEN DE PUTUMAYO;650;0
720;CUMBARATZA;655;0
1390;GUADALUPE;655;0
1770;SAN CARLOS DE LAS MINAS;655;0
2155;LA VICTORIA DE IMBANA;655;0
3260;SABANILLA;655;0
4010;TIMBARA;655;0
6305;ZAMORA;655;0
6840;EL LIMON;655;0
915;CHITO;660;0
1145;EL CHORRO;660;0
2015;LA CHONTA;660;0
2110;SAN ANDRES;660;0
2955;PUCAPAMBA;660;0
6315;ZUMBA;660;0
1240;EL PORVENIR DEL CARMEN;661;0
2170;LA CANELA;661;0
4195;VALLADOLID;661;0
4505;SAN FRANCISCO DEL VERGEL;661;0
6740;PALANDA;661;0
2070;LA PAZ;665;0
4105;TUTUPALI;665;0
6215;28 DE MAYO;665;0
985;CHICANA;670;0
2240;LOS ENCUENTROS;670;0
6295;YANZATZA;670;0
5725;PALESTINA;675;4
475;CANELOS;680;0
1025;10 DE AGOSTO;680;0
1260;FATIMA;680;0
1275;EL TRIUNFO;680;0
2450;MONTALVO/ANDOAS;680;0
3055;POMONA;680;0
3180;RIO CORRIENTES;680;0
3195;RIO TIGRE;680;0
3785;ZARAYACU;680;0
3985;TARQUI;680;0
4005;TNTE. HUGO ORTIZ;680;0
4205;VERACRUZ;680;0
4510;SIMON BOLIVAR;680;0
5825;PUYO;680;0
2310;MADRE TIERRA;685;0
3840;SHELL;685;0
5650;MERA;685;0
740;CURTINCAPAC;690;0
3275;SALATI;690;0
4520;MORALES;690;0
5850;PORTOVELO;690;0
6800;HUALTACO;695;0
6805;MILTON REYES;695;0
6810;EL PARAISO;695;0
6815;ECUADOR;695;0
6820;UNION LOJANA;695;0
685;COTUNDO;700;0
3605;SAN PABLO DE USHPAYACU;700;0
4630;HATUN SUMAKU;700;0
5070;ARCHIDONA;700;0
225;AYAPAMBA;705;0
375;SAN JUAN DE CERRO AZUL;705;0
4480;CORDONCILLO;705;0
4530;SAN JOSE;705;0
4535;MILAGRO;705;0
5745;PACCHA;705;0
4615;LA ESMERALDA;710;0
5640;MONTALVO /SABANETA;710;0
185;VALLE DE LA VIRGEN;715;4
1670;SABANILLA;715;4
5735;PEDRO CARBO;715;4
600;SAN PEDRO DE LOS COFANES;720;0
780;SIETE DE JULIO;720;0
2175;LIMONCOCHA;720;0
2765;PANACOCHA;720;0
3645;SAN ROQUE;720;0
6140;SHUSHUFINDI CENTRAL;720;0
415;SAN CARLOS;725;0
490;ENOKANQUI;725;0
1950;RUMIPAMBA;725;0
1955;TRES DE NOVIEMBRE;725;0
1960;LAGO SAN PEDRO;725;0
1965;UNION MILAGREÑA;725;0
2930;POMPEYA;725;0
3660;SAN SEBASTIAN DE COCA;725;0
6200;LA JOYA DE LOS SACHAS;725;0
835;CHAQUINAL;730;0
1035;12 DE DICIEMBRE;730;0
4545;MILAGROS;730;0
5810;PINDAL /FEDERICO PAEZ;730;0
6255;GRAL.VILLAMIL / PLAYAS;735;3
360;FUNDOCHAMBA;740;0
3345;SAN ANTONIO DE LAS ARADAS;740;0
6260;QUILANGA /LA PAZ;740;0
1095;SEVILLA;745;0
3750;SANTA ROSA DE SUCUMBIOS;745;0
4740;NUEVA TRONCAL;745;0
6325;EL DORADO DE CASCALES;745;0
6330;PALENQUE;750;0
1075;SAN ISIDRO;755;0
1080;EL PARAISO;755;0
1100;LA LIBERTAD;755;0
6335;LA VICTORIA/LAS LAJAS;755;0
6950;PLATANILLOS;755;0
6340;CALUMA / SAN ANTONIO/;760;0
6345;EL TAMBO;765;0
2410;MINDO;770;4
6350;S. MIGUEL DE LOS BANCOS;770;4
665;EL GUISMI;775;0
945;TUNDAYME;775;0
1015;PACHICUTZA;775;0
6355;EL PANGUI;775;0
1540;SUSUDEL;780;0
6360;OÑA;780;0
1615;TONSUPA;785;0
2130;LA UNION;785;0
3880;SUA/BOCANA;785;0
4055;TONCHIGUE;785;0
6380;ATACAMES;785;0
660;CRNEL. LORENZO GARAICOA;790;4
6385;SIMON BOLIVAR;790;4
875;CHIGUAZA;795;0
6390;HUAMBOYA;795;0
6870;PABLO SEXTO;796;0
1295;SAN JOSE DE MORONA;797;0
6890;SANTIAGO;797;0
1220;EL PROGRESO;800;0
4415;ISLA SANTA MARIA;800;0
6510;PTO. BAQUERIZO MORENO;800;0
235;BELLA VISTA;805;0
1985;SANTA ROSA;805;0
6505;PUERTO AYORA;805;0
4165;TOMAS DE BERLANGA;810;0
6515;PUERTO VILLAMIL;810;0
385;BUENAVISTA;815;0
1180;EL ROSARIO;815;0
1450;AMARILLOS;815;0
3755;SANTA RUFINA;815;0
6530;CHAGUARPAMBA;815;0
6525;ELOY ALFARO /DURAN;820;3
7455;EL RECREO;820;3
7515;DIVINO NIÑO;820;3
1500;GUASAGANDA;825;0
2965;PUCAYACO;825;0
6535;LA MANA;825;0
6880;EL CARMEN;825;0
6895;EL TRIUNFO;825;0
6540;PALLATANGA;830;0
6545;A.BAQUERIZO M /JUJAN;835;4
1060;SAN SEBASTIAN;840;1
1065;BARRAGANETE;840;1
6550;PICHINCHA /GERMUD;840;1
6555;CEVALLOS;845;0
4555;PINGUILI;850;0
6560;MOCHA;850;0
4560;CHUMBLIN;855;0
6565;SAN FERNANDO;855;0
160;EL INGENIO;860;0
6570;MARCABELI;860;0
230;EL REVENTADOR;865;0
1090;GONZALO PIZARRO;865;0
3615;PUERTO LIBRE;865;0
6300;LUMBAQUI;865;0
6580;SANTA LUCIA;870;4
1975;BELLAMARIA;875;0
6590;BALSAS;875;0
2100;SAN JOSE;880;0
6395;SANTA CLARA;880;0
735;CURARAY;881;0
6705;ARAJUNO;881;0
575;COCHAPATA;885;0
1175;EL PROGRESO;885;0
2550;NIEVES;885;0
6595;NABON;885;0
6410;CRNL MARCELINO MARIDUENAS;890;4
6415;PEDRO VICENTE MALDONADO;895;4
6125;PUERTO QUITO;896;4
6420;CUMANDA;900;0
3875;SOLANO;905;0
6425;DELEG;905;0
580;COJIMIES;910;1
785;ATAHUALPA;910;1
1030;10 DE AGOSTO;910;1
6430;PEDERNALES;910;1
1535;LA UNION;915;0
1575;SAN MARTIN DE PUZHIO;915;0
1585;LUIS GALARZA O. (DELEGSOL);915;0
2950;PRINCIPAL;915;0
6435;CHORDELEG;915;0
6440;LOMAS DE SARGENTILLO;920;4
710;SAN JACINTO DE WAKAMBEIS;925;0
1785;SANTIAGO DE PANANZA;925;0
2750;PAN DE AZUCAR;925;0
3920;SAN CARLOS DE LIMON;925;0
6445;SAN JUAN BOSCO;925;0
595;HUASAGA /WAMPUIK;926;0
1205;TUTINENTZA;926;0
2285;MACUMA;926;0
4575;PUMPUENTSA;926;0
6700;TAISHA;926;0
815;PALO QUEMADO;930;0
960;CHUGCHILAN;930;0
1735;ISINLIVI;930;0
2115;LAS PAMPAS;930;0
6450;SIGCHOS;930;0
215;AVILA;935;0
400;SAN VICENTE DE HUATICOCHA;935;0
1050;PUERTO MURIALDO;935;0
1680;SAN JOSE DE DAHUANO;935;0
3480;SAN JOSE DE PAYAMINO;935;0
6455;LORETO;935;0
6460;NARCISA DE JESUS;940;4
150;PATRICIA PILAR;945;0
6465;SN JACINTO DE BUENA FE;945;0
6695;MOCACHE;946;0
6470;LAS NAVES;950;0
6475;LAS MERCEDES;950;0
85;AMALUZA;955;0
2725;PALMAS;955;0
6480;SEVILLA DE ORO;955;0
1650;SAN VICENTE;960;0
6485;EL PAN;960;0
6610;LA LIBERTAD;965;0
6495;OLMEDO /PUCA;970;2
